ID,Type,Level,Name,Desc,Price,Sprite,Bubble Chance,Ad Chance,Bubble Cost,Bubble Duration,end
G001,Generatable,1,공구함,공구가 담겨있는 기본 공구함이며 펭가이버가 되기 위한 필수품입니다!!,,공구_LV1_제네레이터,,,,,end
N001,Normal,1,드라이버,나사를 빙글빙글 돌려보아요.,1,공구_LV1_드라이버,,,,,end
N001,Normal,2,스패너,날개 힘이 부족할 때 펜치로 강력하게 잡고 비틀 수 있어요.,2,공구_LV2_펜치,80,100,1,10,end
N001,Normal,3,플라이어,너트를 강력하게 조이는 도구입니다.,3,공구_LV3_스패너,40,50,2,30,end
N001,Normal,4,망치,이글루에 못을 박을 일은 없답니다.,4,공구_LV4_망치,20,0,4,60,end
G002,Generatable,1,청소 도구 카트,청소도구가 담겨있는 카트이며 먼지와의 전쟁에서 승리할 수 있습니다!,,청소도구_LV1_제네레이터,,,,,end
N002,Normal,1,걸레,먼지를 닦아보세요.,1,청소도구_LV1_행주,,,,,end
N002,Normal,2,먼지털이,먼지야 날아가라!,2,청소도구_LV2_먼지털이,80,100,1,10,end
N002,Normal,3,빗자루,타고 날아갈 순 없어요.,3,청소도구_LV3_빗자루,40,50,2,30,end
N002,Normal,4,양동이,걸레를 샤워시켜요.,4,청소도구_LV4_양동이,20,0,4,60,end
