EventName,DialogueID,NPCName,DialogueText,NextDialogueID,end
EVENT0,0,집사 펭귄,아<c> 오셨군요.,1,end
,1,집사 펭귄,여긴 ‘이세계 펭귄 호텔’입니다.,2,end
,2,ME,…이세계? 펭귄? 호텔요?,3,end
,3,집사 펭귄,네<c> 다소 생소할 수도 있죠.,4,end
,4,집사 펭귄,이곳은 여러 세계의 펭귄들이 머무는 쉼터랍니다.,5,end
,5,집사 펭귄,북극에서<c> 바닷속에서… 다양한 손님들이 오세요.,6,end
,6,집사 펭귄,언제 누가 올진 아무도 모릅니다.,7,end
,7,집사 펭귄,그래서 늘 준비되어 있어야 하죠.,8,end
,8,집사 펭귄,이 호텔의 지배인님으로<c> 당신을 모시고자 합니다.,9,end
,9,ME,제가 그걸… 잘 할 수 있을까요?,10,end
,10,집사 펭귄,물론이죠. 제가 도와드릴 테니까요.,11,end
,11,집사 펭귄,자<c> 첫 손님을 맞이해볼까요?,-1,end
EVENT1,0,마왕 펭귄,……드디어<c>,1,end
,1,마왕 펭귄,이 몸의 발걸음을 막을 자는 없군.,2,end
,2,ME,...!!!,3,end
,3,ME,어서 오세요!,4,end
,4,마왕 펭귄,후훗… 나를 몰라보는군.,5,end
,5,마왕 펭귄,이 몸은… 암흑의 얼음 위에 군림하는 자.,6,end
,6,마왕 펭귄,마왕 펭귄이다.,7,end
,7,마왕 펭귄,수많은 차원을 넘나들다… 이곳에 도달했지.,8,end
,8,마왕 펭귄,이제 잠시 안식이 필요하다.,9,end
,9,마왕 펭귄,그리고… 흑마법을 수련할 공간도 말이지.,10,end
,10,ME,네! 금방 준비해드릴게요!,11,end
,11,ME,(이런 손님도 오는구나…),-1,end
EVENT2,0,마왕 펭귄,후훗… 이 기운<c> 마음에 드는군.,1,end
,1,마왕 펭귄,이 정도면… 이 몸의 거처로 손색없겠지.,2,end
,2,마왕 펭귄,좋아. 이곳을 ‘마왕의 안식처’로 삼겠다.,-1,end
