EventName,Index,NPCName,DialogueText,캐릭터위치,강조박스위치,강조박스크기,손가락애니메이션종류,손가락위치,손가락각도,손가락애니메이션거리,완료조건,end
TUTORIAL0,0,집사 펭귄,오<c> 바로 첫 손님이 도착하셨군요.,290/0,,,,,,,,end
,1,집사 펭귄,이쪽으로 안내해드릴게요.,290/0,555/40,150/150,Zoom,527/155,30,,머지이동클릭,end
,2,집사 펭귄,손님께서 요청하신 의뢰서를 함께 볼까요?,290/0,15/1045,150/150,Zoom,227/1090,-150,,제작목록클릭,end
,3,집사 펭귄,필요한 물건을 만들어 객실을 준비하는 것이 저희의 일입니다.,290/-300,110/485,500/290,,,,,,end
,4,집사 펭귄,물건을 만드는 방법을 알려드리겠습니다.,290/-0,485/845,120/120,Zoom,547/827,150,,제작목록닫기버튼클릭,end
,5,집사 펭귄,객실 준비의 기본은 ‘합성’입니다.,290/330,20/175,680/865,,,,,,end
,6,집사 펭귄,같은 물건 두 개를 드래그하여 합치면<c> 더 높은 등급의 오브젝트로 변합니다.,290/330,20/175,680/865,,,,,,end
,7,집사 펭귄,자<c> 드라이버 두 개를 합성해 펜치를 만들어볼까요?,290/330,220/560,190/100,SwipeX,345/615,-150,100,펜치합성,end
,8,집사 펭귄,아주 잘하셨어요!,290/330,,,,,,,,end
,9,집사 펭귄,자물쇠로 잠겨있는 물건은 이동은 되지 않지만<c> 합성은 가능합니다.,290/330,310/650,100/100,,,,,,end
,10,집사 펭귄,펜치를 잠긴 펜치와 합성해 플라이어를 만들어보시죠.,290/330,310/550,100/200,SwipeY,455/615,-150,100,스패너합성,end
,11,집사 펭귄,새로운 아이템이 나왔군요.,290/330,217/650,100/100,,,,,,end
,12,집사 펭귄,번개 모양이 있는 아이템은 제너레이터입니다.,290/330,217/650,100/100,,,,,,end
,13,집사 펭귄,터치할 때마다 아이템을 계속 생성해준답니다.,290/330,217/650,100/100,Zoom,355/715,-150,,제너레이터클릭,end
,14,집사 펭귄,이제 계속 합성해서 망치를 만들어볼까요?,290/330,215/555,290/290,,,,,망치합성,end
,15,집사 펭귄,오<c> 필요하던 망치를 완성하셨군요!,290/330,215/555,290/290,,,,,,end
,16,집사 펭귄,이제 의뢰서의 ‘완료’ 버튼을 눌러주세요.,290/-240,175/1050,140/145,Zoom,335/1105,-150,,퀘스트완료클릭,end
,17,집사 펭귄,가구 비치에 필요한 별이 모두 모였군요. 제작 목록을 눌러주세요.,290/-240,15/1050,155/145,Zoom,200/1105,-150,,제작목록클릭,end
,18,집사 펭귄,이동을 눌러 가구를 비치하러 가시죠. 이젠 저 대신<c> 메이드 펭귄이 설명을 도와줄 것입니다.,290/-300,110/485,500/290,Zoom,620/580,-150,,가구제작클릭,end
,19,메이드 펭귄,지금부터는 객실에 가구를 비치하는 방법을 알려드릴게요.,290/0,,,,,,,,end
,20,메이드 펭귄,가구는 드래그를 통해 이동시킬 수 있고<c> 방향 전환이 가능해요.,290/400,30/320,660/545,,,,,,end
,21,메이드 펭귄,원하는 곳을 찾았으면 체크 버튼을 눌러 가구 비치를 완료해보세요.,290/400,30/320,660/545,,,,,가구설치,end
,22,메이드 펭귄,잘하셨어요! 이렇게 손님의 취향에 맞게 방을 아늑하게 꾸며보세요.,290/400,30/320,660/545,,,,,,end
,23,메이드 펭귄,마음에 드는 객실일수록<c> 손님 만족도도 높아지니까요.,290/400,30/320,660/545,,,,,,end
,24,메이드 펭귄,자<c> 그럼 계속해서 펭귄님의 방을 한번 꾸며볼까요?,290/0,555/40,150/150,Zoom,527/155,30,,머지이동클릭,end
TUTORIAL1,1,집사 펭귄,오<c> 아주 훌륭했어요.,290/400,,,,,,,,end
,2,집사 펭귄,첫 손님께서 정말 만족하신 것 같네요.,290/400,,,,,,,,end
,3,집사 펭귄,이런 식으로 손님 한 분 한 분의 취향을 살펴서 방을 꾸미면 됩니다.,290/400,,,,,,,,end
,4,집사 펭귄,하지만… 앞으로는 조금 더 신경써야 할지도 몰라요.,290/400,,,,,,,,end
,5,집사 펭귄,이 호텔엔 다양한 세계에서 온 펭귄들이 찾아오거든요.,290/400,,,,,,,,end
,6,집사 펭귄,성격도<c> 취향도<c> 원하는 것도 모두 제각각이죠.,290/400,,,,,,,,end
,7,집사 펭귄,그만큼 준비와 배려가 중요합니다.,290/400,,,,,,,,end
,8,집사 펭귄,자<c> 이제 다음 손님을 맞이하러 가볼까요?,290/400,,,,,,,,end
